t,mean,lwr,upr,mean_baseline,lwr_baseline,upr_baseline,mean_smooth,lwr_smooth,upr_smooth,mean_baseline_smooth,lwr_baseline_smooth,upr_baseline_smooth,test
3,2.888,0,6,8.115,4,13,2.9218155586635515,0.17952365185186123,6.002002632120842,8.164341980926139,4.000000000000001,12.986814393152818,pcr
2.9583333333333335,2.946,0,6,8.27,4,13,2.8660016104534742,0.15976308219214713,5.904231896752835,8.164540927390242,4,12.991092818756812,pcr
2.9166666666666665,2.804,0.9499999999999886,6,8.18,4,13,2.8102744359860328,0.14090254893004386,5.806972546741205,8.164745220100595,4,12.995237866017222,pcr
2.875,2.711,0,6,8.151,4,13,2.754606487179121,0.12315679242975794,5.710449244133346,8.16494800343911,3.999999999999999,12.999232515725778,pcr
2.8333333333333335,2.678,0,6,8.15,4,13,2.6989702159506272,0.10674055305549515,5.614886650976651,8.165142421787687,3.999999999999999,13.003059748674223,pcr
2.7916666666666665,2.599,0,5,8.09,4,13,2.6433666321344824,0.09163816702920748,5.520207458389232,8.165321619528232,3.9999999999999987,13.006702545654287,pcr
2.75,2.569,0,5,8.107,4,13,2.587822026107838,0.07763730954293298,5.426153727852035,8.165478741042653,3.9999999999999982,13.010143887457712,pcr
2.7083333333333335,2.586,0,5,8.137,4,13,2.532346770603414,0.06465772941600581,5.332679176956677,8.165606930712855,3.9999999999999973,13.01336675487623,pcr
2.6666666666666665,2.522,0,5,8.121,4,13,2.476951238353931,0.052619175467760286,5.239737523294787,8.165699332920747,3.999999999999997,13.016354128701584,pcr
2.625,2.43,0,5,8.278,4,13,2.421645802092113,0.04144139651753105,5.147282484457995,8.165749092048232,3.999999999999997,13.019088989725503,pcr
2.5833333333333335,2.415,0,5,8.161,4,13,2.366406451577826,0.031298507015871224,5.055417713158758,8.165757864538625,3.9999999999999973,13.02157126843411,pcr
2.5416666666666665,2.329,0,5,8.244,4,13.049999999999955,2.3112167766965093,0.022310653372054418,4.964221849072047,8.165736584756699,3.9999999999999973,13.02382380355955,pcr
2.5,2.165,0,5,8.004,4,13,2.2560985503692477,0.014316632343495977,4.87361109023326,8.165692313966563,3.9999999999999982,13.025863938262615,pcr
2.4583333333333335,2.257,0,5,8.186,4,13,2.201073545517122,0.007155240687610914,4.783501634677793,8.165632113432318,3.999999999999999,13.027709015704092,pcr
2.416666666666667,2.148,0,5,8.203,4,13,2.1461635350612154,6.652751618143674e-4,4.693809680441041,8.165563044418068,3.999999999999999,13.029376379044766,pcr
2.375,2.076,0,5,8.261,4,13,2.091216288769868,-0.00432252248451903,4.606282977223325,8.165492168187921,3.9999999999999996,13.03088337144543,pcr
2.3333333333333335,1.982,0,5,7.977,4,13,2.0361816467208307,-0.0074900030032113004,4.521335941160465,8.165426546005978,4,13.032247336066868,pcr
2.291666666666667,1.927,0,4,8.135,4,13,1.9812344872992949,-0.009767258388642569,4.436884769941092,8.165373239136347,4.000000000000001,13.033485616069868,pcr
2.25,1.951,0,4,8.285,4,13,1.9265496888904536,-0.012084380635192921,4.350845661253846,8.165339308843127,4.000000000000001,13.03461555461522,pcr
2.2083333333333335,1.864,0,4,8.291,4,13,1.8714134470453274,-0.012521740307950923,4.261431327990834,8.165310161385852,4.000000000000001,13.035559634302219,pcr
2.166666666666667,1.917,0,4.0499999999999545,8.309,4,13,1.8154536888921893,-0.009736580817775349,4.169455914770766,8.165269107150193,4.000000000000001,13.036249930754856,pcr
