t,mean,lwr,upr,mean_baseline,lwr_baseline,upr_baseline,mean_smooth,lwr_smooth,upr_smooth,mean_baseline_smooth,lwr_baseline_smooth,upr_baseline_smooth,test
3,4.678,1,8,13.989,8,20,4.692697727493654,0.9197917751668993,8.342819737316354,13.956424403643776,8.062248698157102,20.357891083460583,pcr
2.9583333333333335,4.604,1,8,13.764,8,20,4.621780417980082,0.9529796627205154,8.255132395316032,13.959098974971063,8.0638717577403,20.35052442465214,pcr
2.9166666666666665,4.469,1,8,13.995,8,21,4.550544162738844,0.9821595719720458,8.166196669637758,13.96168897142234,8.065391060817808,20.343212449707057,pcr
2.875,4.506,1,8,13.992,8,20,4.4789197762690955,1.006966665495248,8.075904915176832,13.964178963472564,8.066802187987115,20.335964945949296,pcr
2.8333333333333335,4.497,1,9,14.028,8,21,4.406838073069989,1.0270361058638804,7.9841494868285325,13.966553521596685,8.068100719845722,20.32879170070279,pcr
2.7916666666666665,4.394,1,8,14.02,8,20,4.33431667167165,1.0423872601951198,7.891083280768604,13.968797216269655,8.069282236991123,20.32170250129148,pcr
2.75,4.192,1,8,13.861,8,21,4.2614268652334,1.0533380860619934,7.796867006787968,13.970894617966431,8.07034232002082,20.314707135039328,pcr
2.7083333333333335,4.16,1,8,13.819,8,20,4.188179980198172,1.0599716317220333,7.701404740204673,13.97283029716196,8.071276549532305,20.307815389270264,pcr
2.6666666666666665,4.253,1,8,14.224,9,21,4.114587343008909,1.0623709454327723,7.604600556336776,13.974588824331201,8.072080506123081,20.30103705130824,pcr
2.625,4.023,1,7,13.957,8,20,4.0406602801085505,1.060619075451743,7.506358530502336,13.976154769949106,8.072749770390642,20.2943819084772,pcr
2.5833333333333335,3.898,1,7,13.991,8,20,3.966311046579334,1.053895879959522,7.406353957739848,13.977534478738338,8.073298760005107,20.28784912074492,pcr
2.5416666666666665,3.852,1,7,14.13,8,20,3.8915024988915365,1.0418667356667835,7.304546706609249,13.978752385893385,8.073743661551342,20.28142162742407,pcr
2.5,3.788,1,7,13.861,8,20,3.816321865570162,1.0253429686262072,7.201267712710764,13.979820197596949,8.074082708998969,20.275084884855964,pcr
2.4583333333333335,3.777,1,7,13.956,8,20,3.7408563751402113,1.005135904890473,7.096847911644607,13.980749620031727,8.074314136317604,20.268824349381894,pcr
2.416666666666667,3.716,1,7,14.092,8,21,3.665193256126685,0.9820568705122608,6.991618239011,13.981552359380409,8.074436177476867,20.26262547734316,pcr
2.375,3.637,1,7,14.013,8,20.049999999999955,3.58898954773218,0.9540671200915587,6.88346706877089,13.982240121825702,8.07444706644638,20.25647372508107,pcr
2.3333333333333335,3.532,1,7,13.865,8,20,3.5121028493977176,0.9200669254287226,6.7717339440512525,13.982824613550303,8.07434503719576,20.250354548936922,pcr
2.291666666666667,3.419,1,7,14.046,8.949999999999989,20,3.434921230005931,0.8822761383769799,6.658926554201333,13.983317540736909,8.074128323694627,20.244253405252017,pcr
2.25,3.382,1,7,14.154,8,21,3.3578327584394545,0.842914610789559,6.547552588570378,13.983730609568216,8.073795159912603,20.238155750367657,pcr
2.2083333333333335,3.285,1,6,13.984,8,20,3.280311506219165,0.7943744353784413,6.43988086500329,13.983931024280354,8.073286028160533,20.232011266797475,pcr
2.166666666666667,3.078,1,6,13.817,8,20,3.2019036726697436,0.7323798780247537,6.33505551601976,13.983819174634924,8.072562442510696,20.225801780569228,pcr
2.125,3.125,1,6,13.947,8,20,3.1231055183795338,0.6641490503354431,6.230897202981228,13.983456545102829,8.07165418457485,20.219560963295418,pcr
2.0833333333333335,3.052,1,6,13.814,8,20,3.0444133039368824,0.5969000639174582,6.125226587249138,13.982904620154976,8.070591035964764,20.21332248658854,pcr
2.041666666666667,2.961,1,6,13.935,8,20,2.9663232899301315,0.5378510303777462,6.015864330184927,13.982224884262267,8.069402778292194,20.207120022061098,pcr
2,2.854,0,6,13.851,8,20.049999999999955,2.887996666504383,0.4714284790189458,5.90217077457746,13.981478821895614,8.068119193168904,20.200987241325596,pcr
1.9583333333333335,2.919,0,6,14.153,8,21,2.8088534919327657,0.38873716000905745,5.785888388665443,13.980727917525911,8.066770062206656,20.19495781599452,pcr
1.9166666666666667,2.684,0,6,13.902,8,20,2.7297783289956574,0.3070125162530663,5.668411021985078,13.980033655624075,8.065385167017213,20.189065417680382,pcr
1.875,2.714,0,6,14.094,8,20,2.65165574047344,0.24348999065595917,5.5511325240725675,13.979457520661,8.063994289212333,20.183343717995673,pcr
1.8333333333333335,2.581,0,5,14.062,8,20,2.5741661865312286,0.19069155584748318,5.432577664036974,13.9786079133578,8.062285346280472,20.178015936328148,pcr
1.7916666666666667,2.483,0,5,14.081,8,20,2.49655919187183,0.133274140486724,5.311185228047426,13.977157759841,8.06002248136172,20.173206349148085,pcr
1.75,2.395,0,5,14.092,8,20,2.419072916082167,0.0766756215226775,5.188220091230235,13.975265332689661,8.057349814545296,20.16880021369177,pcr
1.7083333333333335,2.31,0,5,13.981,8,21,2.341945518749161,0.02633387590433943,5.064947128711711,13.97308890448282,8.054411465920417,20.16468278719549,pcr
1.6666666666666667,2.298,0,5,14.121,8,20,2.2654151594597334,-0.012313219419295196,4.94263121561816,13.970786747799528,8.051351555576302,20.16073932689552,pcr
1.625,2.187,0,5,13.949,8,20,2.1888484270148116,-0.03425274740629745,4.816629230573563,13.968517135218836,8.048314203602171,20.156855090028166,pcr
1.5833333333333335,2.072,0,5,13.943,8,20,2.111918642939442,-0.043553511326418534,4.685231536045392,13.96643833931979,8.045443530087244,20.152915333829704,pcr
